Measurement,Major Axis (μm),Minor Axis (μm)
0,33.697,33.15
1,23.454,22.703
2,24.706,23.95
3,34.963,34.315
4,24.058,23.734
5,34.813,33.744
6,23.362,23.209
7,34.508,33.134
8,24.382,23.734
9,34.639,33.991
10,35.577,33.744
11,24.43,23.82
12,23.95,23.626
13,35.179,34.639
14,34.735,33.845
15,23.386,23.317
16,34.099,33.991
17,23.337,22.613
18,34.227,33.709
19,23.917,23.386
20,23.727,23.386
21,34.639,34.423
22,23.667,23.667
23,35.119,34.05
24,24.274,23.626
25,34.243,34.106
26,23.82,23.667
27,34.298,33.574
28,23.795,23.727
29,34.038,33.628
30,23.734,23.734
31,34.099,33.991
32,34.423,34.315
33,23.972,23.514
34,34.661,33.286
35,23.362,23.056
36,24.166,24.166
37,34.639,34.639
38,23.842,23.734
39,35.199,34.448
40,34.82,33.672
41,24.105,23.894
42,34.311,33.56
43,24.125,23.667
44,24.069,24.0
45,34.423,34.315
46,34.813,33.744
47,24.583,23.972
48,23.734,23.195
49,34.639,33.991
50,34.516,34.243
51,24.736,23.209
52,23.972,23.667
53,34.269,33.93
54,24.069,23.249
55,34.819,34.396
56,23.386,23.181
57,34.966,33.592
58,34.355,33.897
59,24.0,23.864
60,24.058,23.95
61,34.423,34.207
62,34.106,33.902
63,23.972,23.209
64,24.43,23.667
65,35.271,34.508
66,34.789,33.833
67,23.659,23.454
68,34.099,33.775
69,23.519,23.195
70,24.736,23.056
71,34.813,34.203
72,35.271,33.439
73,23.864,23.864
74,34.207,33.775
75,23.087,22.979
76,23.667,22.598
77,34.966,34.05
78,34.813,33.744
79,24.125,23.362
