Measurement,Major Axis (μm),Minor Axis (μm)
0,35.226,34.005
1,23.805,23.053
2,22.858,22.095
3,36.089,36.089
4,24.691,22.553
5,35.226,34.768
6,25.256,23.614
7,35.009,34.865
8,23.997,23.781
9,35.117,34.793
10,24.487,22.575
11,34.833,34.621
12,24.86,24.321
13,35.684,35.226
14,34.594,34.457
15,24.078,23.122
16,35.837,34.921
17,24.761,23.668
18,35.618,35.003
19,24.214,23.805
20,24.08,23.622
21,35.532,34.005
22,24.86,24.752
23,35.225,35.009
24,21.945,21.621
25,37.822,35.837
26,22.809,22.269
27,35.549,35.225
28,24.428,23.781
29,35.549,35.441
30,35.589,34.333
31,24.146,23.668
32,24.536,23.781
33,35.117,35.009
34,35.299,34.43
35,24.214,23.736
36,24.536,23.673
37,34.96,34.664
38,25.454,24.08
39,35.532,34.616
40,23.311,23.141
41,35.745,34.634
42,22.917,21.405
43,35.823,34.935
44,24.556,22.302
45,36.437,35.481
46,23.672,23.08
47,36.558,34.851
48,23.781,23.457
49,35.441,35.225
50,23.349,23.349
51,35.441,35.225
52,20.896,20.517
53,35.823,35.003
54,24.843,23.164
55,35.226,34.768
56,24.213,24.105
57,36.142,34.157
58,24.585,23.476
59,36.295,35.532
60,23.025,22.809
61,35.441,35.333
62,21.486,20.833
63,35.686,34.457
64,24.86,24.213
65,35.009,34.793
66,35.225,35.009
67,24.86,24.428
68,24.194,23.856
69,35.684,34.005
70,24.428,24.213
71,35.345,34.389
72,23.298,22.897
73,35.347,34.318
74,35.379,34.005
75,24.536,24.213
76,24.538,23.927
77,35.684,34.616
78,35.225,34.901
79,22.377,22.377
