Measurement,Major Axis (μm),Minor Axis (μm)
0,34.936,34.823
1,24.214,22.849
2,21.005,20.937
3,35.55,34.73
4,22.917,22.809
5,34.577,34.47
6,23.349,22.917
7,34.254,33.93
8,23.469,22.4
9,35.074,34.31
10,23.349,23.241
11,35.837,33.852
12,24.146,23.6
13,35.074,34.463
14,35.347,34.092
15,24.078,24.009
16,24.233,23.316
17,35.379,34.31
18,36.023,33.995
19,22.78,22.712
20,23.805,23.463
21,35.686,33.979
22,24.385,23.469
23,35.837,33.852
24,17.961,17.905
25,35.592,34.816
26,21.513,20.974
27,35.172,35.045
28,35.225,34.901
29,23.241,23.241
30,23.736,22.166
31,34.616,33.699
32,24.08,23.011
33,35.684,33.394
34,24.644,23.241
35,35.873,34.577
36,34.793,34.793
37,24.752,24.213
38,23.622,23.469
39,35.379,33.852
40,35.226,34.31
41,23.941,22.78
42,23.164,21.637
43,35.486,34.264
44,35.396,34.382
45,22.938,21.731
46,23.228,22.265
47,35.413,34.662
48,24.233,23.316
49,36.142,34.616
50,24.283,23.122
51,34.918,34.791
52,21.081,20.866
53,34.833,34.706
54,23.622,23.469
55,35.379,33.547
56,23.316,23.316
57,35.684,33.547
58,23.325,22.069
59,35.745,34.412
60,23.164,22.248
61,35.226,33.852
62,21.141,21.141
63,35.003,33.296
64,23.316,23.011
65,34.616,32.783
66,23.672,22.858
67,35.074,33.547
68,22.697,21.731
69,35.074,33.089
70,23.469,22.938
71,34.685,34.146
72,23.025,22.485
73,34.47,34.146
74,23.316,22.858
75,35.18,33.773
76,23.775,23.622
77,34.935,34.525
78,35.988,34.963
79,23.781,22.917
