Measurement,Major Axis (μm),Minor Axis (μm)
0,35.657,34.577
1,24.536,23.349
2,24.86,23.997
3,35.684,33.699
4,25.301,24.08
5,36.142,34.157
6,24.624,24.419
7,35.413,34.116
8,24.428,24.321
9,35.225,34.901
10,24.385,24.08
11,35.532,33.852
12,23.565,23.133
13,34.685,34.362
14,35.226,33.699
15,24.08,23.927
16,35.333,35.117
17,24.428,24.105
18,35.809,34.881
19,24.843,24.538
20,24.105,24.105
21,35.618,34.798
22,24.585,24.076
23,36.142,34.157
24,24.385,24.08
25,35.47,34.208
26,24.321,24.321
27,35.208,34.252
28,24.691,23.775
29,35.226,34.31
30,23.889,23.457
31,34.577,34.362
32,24.843,24.843
33,35.391,34.815
34,35.837,34.616
35,24.843,24.233
36,24.761,24.692
37,35.426,34.621
38,24.538,23.927
39,35.837,34.005
40,35.009,34.793
41,24.843,24.233
42,24.752,24.536
43,35.225,34.685
44,35.837,34.157
45,24.385,24.233
46,24.385,23.775
47,35.684,33.394
48,35.532,34.31
49,24.538,24.08
50,25.102,24.214
51,35.684,34.157
52,23.566,23.518
53,35.031,33.384
54,25.184,24.968
55,35.837,34.768
56,24.146,23.736
57,36.142,33.699
58,24.339,23.711
59,35.685,33.802
60,24.746,23.08
61,35.684,33.089
62,35.072,34.525
63,25.184,23.997
64,24.08,23.316
65,35.684,33.241
66,24.996,24.233
67,35.492,34.768
68,35.074,33.547
69,23.895,23.895
70,24.897,24.761
71,35.959,34.525
72,35.345,33.706
73,23.889,23.781
74,36.41,34.961
75,24.843,24.538
76,24.214,23.6
77,35.003,34.389
78,35.203,34.333
79,24.487,23.805
