Measurement,Major Axis (μm),Minor Axis (μm)
0,34.661,32.523
1,22.445,22.293
2,19.697,18.628
3,33.344,33.236
4,21.529,21.224
5,34.966,32.218
6,22.084,21.81
7,33.897,32.218
8,20.97,20.696
9,33.128,32.804
10,34.661,33.592
11,22.903,21.835
12,23.113,22.839
13,34.311,33.676
14,22.903,21.835
15,34.355,32.828
16,34.661,33.286
17,22.751,22.598
18,34.203,32.218
19,21.682,21.377
20,22.14,21.987
21,34.712,32.436
22,22.445,22.293
23,34.508,32.523
24,34.057,33.549
25,17.753,16.779
26,18.934,17.865
27,34.099,33.991
28,21.889,20.633
29,34.355,33.439
30,21.791,21.683
31,33.236,33.128
32,23.056,22.903
33,34.355,32.523
34,23.113,23.044
35,34.423,33.775
36,22.661,22.661
37,34.661,32.981
38,22.445,22.14
39,34.203,32.218
40,22.763,21.683
41,34.963,34.315
42,35.424,33.744
43,20.919,19.85
44,20.387,19.956
45,34.355,34.05
46,21.679,21.269
47,35.577,33.439
48,34.966,33.592
49,22.751,22.14
50,35.199,34.106
51,22.598,22.293
52,35.201,33.718
53,18.947,17.65
54,23.317,21.952
55,34.508,33.439
56,22.439,22.331
57,33.775,33.668
58,21.064,19.22
59,34.516,33.902
60,20.155,19.239
61,34.203,32.981
62,18.879,17.24
63,33.452,32.372
64,22.14,22.14
65,33.897,31.607
66,34.443,32.946
67,22.951,22.661
68,34.05,32.065
69,21.683,21.575
70,22.293,22.14
71,34.355,32.523
72,34.203,32.523
73,21.529,20.919
74,22.293,21.987
75,33.897,32.065
76,22.547,22.115
77,34.203,33.134
78,22.445,20.919
79,36.689,35.64
