Measurement,Major Axis (μm),Minor Axis (μm)
0,33.668,33.344
1,23.087,22.763
2,23.362,22.751
3,34.355,31.912
4,23.591,23.113
5,34.315,33.452
6,22.445,22.445
7,33.664,31.957
8,23.181,23.044
9,34.05,32.828
10,22.763,22.547
11,33.592,31.912
12,22.445,22.14
13,34.966,32.37
14,33.452,33.452
15,23.522,22.566
16,33.628,33.287
17,22.839,22.088
18,34.355,33.134
19,23.362,23.056
20,23.181,22.908
21,34.355,32.828
22,22.598,22.293
23,34.203,32.37
24,23.209,22.903
25,33.897,31.912
26,22.979,22.655
27,33.492,32.331
28,22.763,22.763
29,33.592,32.065
30,22.903,22.14
31,32.372,32.264
32,23.411,23.411
33,35.119,32.981
34,22.871,22.871
35,33.668,33.668
36,23.972,23.362
37,34.175,33.902
38,22.547,22.547
39,34.203,32.523
40,23.087,22.979
41,34.203,32.981
42,34.355,32.981
43,23.209,23.056
44,23.82,23.209
45,34.661,33.134
46,23.249,22.976
47,33.765,32.604
48,23.241,23.048
49,34.661,33.134
50,23.303,23.087
51,33.876,33.876
52,22.445,21.987
53,33.439,31.301
54,22.566,22.293
55,34.203,32.981
56,22.439,22.007
57,34.355,32.37
58,22.976,22.635
59,33.744,31.607
60,22.903,22.903
61,34.203,32.065
62,22.655,22.547
63,33.355,32.741
64,22.547,22.439
65,34.243,32.399
66,33.592,32.523
67,22.547,22.439
68,33.744,31.76
69,22.293,21.987
70,23.454,23.317
71,34.584,33.424
72,34.175,32.263
73,22.839,22.225
74,34.813,33.592
75,23.087,22.547
76,22.115,21.791
77,34.05,32.218
78,34.203,31.76
79,23.087,22.547
